Neighbourhood,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without after-tax income,  With after-tax income,  Percentage with after-tax income,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without employment income,  With employment income,  Percentage with employment income,"    Under $5,000 (including loss)","    $5,000 to $9,999","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over","      $80,000 to $89,999","      $90,000 to $99,999","      $100,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","In low income based on the Low-income measure, after tax (LIM-AT)",0 to 17 years,0 to 5 years,  18 to 64 years,  65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",  0 to 17 years (%),    0 to 5 years (%),  18 to 64 years (%),  65 years and over (%),  Not in the labour force,  In the labour force,    Employed,    Unemployed,Participation rate,Employment rate,Unemployment rate,  Did not work,  Worked,"    Worked full year, full time",    Worked part year and/or part time,Total labour force aged 15 years and over by class of worker - 25% sample data,  Class of worker - not applicable,  All classes of workers,    Employee,    Self-employed
Highland Creek,"10,930",505,"10,420",95,1975,"2,015",1520,"1,270","1,140",790,530,455,735,10930,3530,7400,68,"1,105",695,1030,750,690,680,585,445,310,1105,280,295,535,10.5,1315,315,80,900,105,9.9,12.3,11.3,11.4,3.1,4270,6655,"6,095",565,61,56,8.5,4095,6840,"3,540","3,290","6,660",200,"6,450","5,740",720
Hillcrest Village,"14,795",755,"14,050",95,3070,"3,070",1860,"1,415","1,240",995,690,560,1150,"14,805",6135,8665,59,"1,375",845,1200,915,810,705,570,515,375,1365,320,310,735,21.9,3710,715,195,"1,970",1025,19.1,23,23.3,18.9,16.7,6870,7930,"7,270",660,54,49,8.3,6580,8225,"3,955","4,270","7,930",310,"7,605","6,390","1,220"
Humber Heights-Westmount,"8,665",345,"8,315",96,1235,"1,510",1365,"1,045",975,670,485,330,695,8665,2980,5690,66,765,450,770,585,515,495,510,350,295,945,215,230,485,14.6,1480,415,120,825,240,10.8,16,14,10.8,6.3,3540,5115,"4,745",380,59,55,7.4,3365,5295,"2,735","2,560","5,110",150,"4,960","4,275",700
Humber Summit,"10,260",610,"9,640",94,1845,"2,375",1950,"1,385",905,540,290,160,200,10255,4165,6090,59,780,620,1060,885,795,610,470,300,190,375,125,95,150,19.7,2450,830,270,"1,355",260,16,26,27.7,15.8,5.9,4505,5755,"5,200",555,56,51,9.6,4510,5745,"2,575","3,170","5,755",240,"5,515","4,990",530
Humbermede,"12,585",780,"11,805",94,2410,"2,770",2365,"1,735","1,220",615,330,190,175,12585,4490,8090,64,"1,055",790,1410,"1,210",1100,880,615,380,235,410,165,115,130,22.7,"3,520","1,185",410,"2,000",340,18.4,25,26,17.8,9.7,4950,7640,"6,865",780,61,55,10.2,4935,7650,"3,555","4,095","7,635",310,"7,335","6,760",570
Humewood-Cedarvale,"12,065",395,"11,670",97,1655,"2,010",1845,"1,405","1,105",785,600,475,1800,"12,070",2670,9405,78,"1,100",695,1220,"1,170",945,820,635,460,365,1980,315,280,1380,15.7,2235,310,90,"1,590",340,14.5,9,8.1,15.7,15.3,3175,8890,"8,265",630,74,69,7.1,2870,9190,"4,390","4,810","8,890",170,"8,725","7,315","1,415"
Ionview,"11,300",715,"10,580",94,2000,"2,435",2015,"1,640","1,120",645,365,195,185,11295,3945,7360,65,980,640,1130,1020,1060,865,590,370,295,405,150,110,145,23.3,"3,175",900,380,"1,920",360,18.6,26,29.3,17.9,11.4,4380,6905,"6,295",610,61,56,8.8,4320,6975,"3,200","3,775","6,915",235,"6,675","6,225",450
Islington-City Centre West,"37,405","1,385","36,015",96,"5,430","6,015",4830,"4,525","4,080","3,255","2,315","1,785","3,765","37,420","10,240",27170,73,"3,065","1,925",3315,"2,585","2,530","2,540","2,230","1,990","1,555","5,450","1,245","1,105","3,100",15.8,"6,810","1,510",520,"4,240","1,065",13,17,16.6,12.6,10.3,11725,25665,"23,805","1,870",69,64,7,11355,26055,"14,355","11,695","25,670",680,"25,000","22,050","2,945"
Junction Area,"12,005",450,"11,545",96,1785,"1,975",1650,"1,345","1,305",995,760,630,1120,"12,000",2705,9300,78,"1,005",665,1225,950,840,870,775,620,535,1815,435,415,970,13.5,1900,310,90,"1,390",205,13.2,11,8.5,14,11.1,3110,8890,"8,390",500,74,70,5.6,2940,9060,"4,770","4,305","8,885",180,"8,700","7,510","1,195"
Keelesdale-Eglinton West,"9,435",555,"8,875",94,1535,"2,055",1780,"1,200",885,610,360,235,225,9430,3305,6120,65,635,545,950,845,775,695,480,380,280,530,205,130,205,18.3,2015,455,135,"1,140",415,14.9,18,18.5,13.9,15.7,3780,5645,"5,155",485,60,55,8.6,3745,5675,"2,645","3,040","5,645",185,"5,465","4,925",530
Kennedy Park,"14,320",835,"13,485",94,2580,"3,400",2490,"1,845","1,405",750,470,285,265,14325,5340,8990,63,"1,225",850,1420,"1,275",1080,"1,030",720,460,310,605,220,180,205,26.3,"4,500","1,255",440,"2,645",610,22.1,29,33.6,21.4,15.1,5810,8510,"7,730",775,59,54,9.1,5900,8430,"3,950","4,475","8,515",370,"8,145","7,460",680
Kensington-Chinatown,"16,145",430,"15,715",97,3730,"4,105",2235,"1,555","1,215",815,605,470,990,16150,5620,10530,65,"1,535","1,170",1845,"1,205",980,810,640,500,420,1405,330,280,795,33.2,5800,565,210,"4,095",1140,34.9,32,29.3,35.6,33.8,6045,10105,"9,290",825,63,58,8.2,5945,10205,"4,520","5,695","10,110",295,"9,815","8,565","1,255"
Kingsview Village-The Westway,"17,745","1,010","16,745",94,"3,280","3,610",2880,"2,220","1,720","1,160",675,480,730,17750,6685,11070,62,"1,740","1,030",1760,"1,335","1,255","1,075",785,590,400,1090,335,245,510,24.9,"5,470","2,025",735,"3,050",395,19.7,29,32.1,19.4,7.5,7475,10265,"9,245","1,020",58,52,10,7425,10315,"4,695","5,620","10,260",430,"9,830","8,715","1,115"
Kingsway South,7590,275,7305,96,945,670,635,605,580,555,475,450,2395,"7,585",2230,5370,71,820,355,430,320,280,265,240,230,210,2200,175,235,1800,4.5,415,80,20,280,60,4.1,3.1,3.7,4.9,2.4,2805,4790,"4,440",360,63,59,7.5,2450,5150,"2,605","2,530","4,790",100,"4,685","3,800",885
Lambton Baby Point,6280,325,5955,95,945,930,700,580,515,400,345,315,1210,"6,285",1835,4450,71,625,320,505,350,305,260,240,210,210,1415,185,205,1025,18.5,1475,465,160,830,180,15.1,18.3,20.3,14.2,12.7,2080,4200,"3,885",320,67,62,7.6,1965,4310,"2,130","2,180","4,200",120,"4,085","3,425",660
L'Amoreaux,"37,375","2,030","35,355",95,"7,720","8,935",6100,"4,205","3,140","1,935","1,200",850,"1,260","37,380",14520,22855,61,"3,455","2,490",3955,"3,075","2,570","2,095","1,555","1,030",700,"1,905",580,430,890,23.5,"10,220","2,495",865,"5,965","1,770",19.5,26,28,19.8,12.6,16235,21145,"18,855","2,300",57,50,11,16560,20820,"9,730","11,080","21,145","1,070","20,065","17,910","2,160"
Lansing-Westgate,"13,650",620,"13,030",96,2485,"1,975",1535,"1,300","1,170",935,775,660,2185,"13,650",3860,9785,72,"1,200",685,1305,945,800,680,670,545,465,2480,395,420,1670,17.6,"2,830",405,150,"2,145",280,15.5,11,13,17.6,9.4,4450,9195,"8,530",665,67,63,7.2,4105,9550,"4,875","4,680","9,195",180,"9,005","7,365","1,650"
Lawrence Park North,"11,280",535,10750,95,1485,"1,165",885,785,740,740,680,680,3570,"11,285",2740,8540,76,"1,060",525,710,525,415,415,420,355,375,3745,370,425,2955,6.7,980,180,45,610,195,6.1,4,2.9,6.7,7.7,3335,7945,"7,435",505,70,66,6.4,2915,8370,"4,565","3,790","7,945",115,"7,830","6,375","1,455"
Lawrence Park South,"12,270",550,11715,96,1715,"1,225",975,890,825,725,685,575,4080,"12,260",3130,9140,75,"1,305",600,855,620,495,505,415,340,345,3650,310,280,3060,7.3,1100,210,45,785,120,6.8,5.3,5.3,8.1,3.5,3895,8365,"7,740",625,68,63,7.5,3360,8905,"4,330","4,560","8,365",205,"8,160","6,375","1,775"
Leaside-Bennington,"13,355",635,"12,725",95,1870,"1,350",1155,"1,010","1,040",870,790,725,3920,"13,360",3360,9990,75,"1,395",700,895,675,585,505,470,415,380,3975,370,440,3160,6.9,"1,140",240,65,760,150,5.9,4.4,4.9,6.7,4.4,4215,9145,"8,510",635,69,64,6.9,3750,9605,"5,000","4,605","9,140",150,"8,985","7,210","1,775"
Little Portugal,"13,655",305,"13,350",98,1820,"2,425",2180,"1,795","1,545","1,130",850,570,"1,035","13,655",2790,10865,80,870,750,1555,1300,1145,"1,200",895,740,625,1780,490,355,940,15.6,2350,315,90,"1,835",200,16.7,15,12,17.8,8.5,3005,10650,"9,965",685,78,73,6.4,2940,10715,"5,910","4,805","10,650",130,"10,515","9,105","1,415"
Long Branch,"8,720",295,"8,430",97,1235,"1,530",1335,"1,080",965,645,485,395,745,8725,2220,6505,75,770,475,820,680,665,650,525,400,335,1185,295,255,635,17.6,1775,295,110,"1,245",230,15.1,13,11.4,16.1,12.1,2565,6160,"5,725",440,71,66,7.1,2475,6240,"3,365","2,885","6,165",175,"5,980","5,225",760
Malvern,"35,880","2,335","33,525",93,"7,225","7,990",5935,"4,770","3,535","1,975",995,580,510,35885,12255,23610,66,"3,410","2,420",3785,"3,305","3,110","2,670","1,895","1,135",730,"1,140",440,305,390,20.4,"8,935","2,910",955,"5,000","1,035",15.4,22,24.2,14.5,10,13610,22260,"19,925","2,335",62,56,11,13850,22030,"10,110","11,905","22,260","1,015","21,260","19,735","1,520"
Maple Leaf,"8,365",430,"7,945",95,1280,"1,595",1665,"1,240",840,455,325,210,335,8365,2830,5535,66,625,495,870,805,735,595,405,245,200,570,160,130,280,15.2,1495,410,160,905,185,11.8,16.2,16.8,12.3,5.8,3220,5145,"4,735",415,61,57,8.1,3125,5240,"2,565","2,685","5,150",145,"5,005","4,530",475
Markland Wood,"9,110",330,"8,775",96,1210,"1,285",1180,"1,045",970,790,600,470,1220,"9,105",2900,6205,68,960,455,720,530,475,460,470,365,300,1445,270,275,895,8.3,870,180,55,525,165,6.4,7.4,9.2,7.2,3.3,3665,5445,"5,115",335,60,56,6.2,3395,5710,"3,140","2,575","5,455",105,"5,350","4,645",705
Milliken,"22,370","1,185","21,200",95,"4,940","6,165",3560,"2,315","1,615","1,010",630,390,580,22375,8540,13840,62,"1,990","1,740",2880,"2,000","1,430","1,115",795,575,380,915,295,215,395,22.1,"5,760","1,345",550,"3,415",990,21.2,29,34.3,21.6,12.3,10185,12195,"11,035","1,160",55,49,10,9980,12405,"5,600","6,775","12,185",530,"11,675","10,510","1,145"
Mimico (includes Humber Bay Shores),"29,835",865,"28,975",97,3990,"4,780",3825,"3,460","3,160","2,600","2,150","1,590","3,395","29,840","7,500",22325,75,"2,380","1,450",2560,"2,085","1,990","2,045","1,805","1,620","1,370","5,015","1,180",950,"2,885",18.2,"6,060",855,325,"4,110",1080,15.6,17,14.3,15.4,16.1,8685,21160,"19,865","1,305",71,67,6,8300,21535,"12,190","9,350","21,155",430,"20,735","17,990","2,745"
Morningside,"14,275",825,"13,450",94,2860,"2,950",2340,"1,830","1,380",855,485,325,425,14275,4920,9360,66,"1,500",940,1435,"1,210",1110,945,725,475,270,750,235,230,290,23.8,"4,085","1,250",425,"2,490",345,19.1,27,30.4,19.1,7.5,5510,8760,"7,770",995,61,54,11.4,5765,8515,"3,740","4,770","8,770",475,"8,285","7,670",600
Moss Park,"17,025",425,"16,610",98,2730,"3,440",1935,"1,540","1,450","1,250","1,130",945,"2,175","17,030",4425,12610,74,"1,275",945,1555,"1,090",1000,930,905,835,790,3260,640,585,2045,31.9,5895,830,290,"4,410",655,29.7,37,31.9,28.4,34.9,4700,12325,"11,485",845,72,68,6.9,4605,12425,"6,660","5,770","12,325",315,"12,010","10,400","1,610"
Mount Dennis,"10,870",610,"10,260",94,1935,"2,420",1905,"1,585","1,130",630,310,180,175,10865,3475,7390,68,945,755,1175,1020,1005,900,570,355,255,400,150,120,125,25.3,3355,"1,060",395,"2,030",280,21.2,30,32.8,19.8,13.3,3970,6905,"6,150",745,64,57,10.8,3980,6890,"3,135","3,750","6,900",305,"6,595","5,990",615
Mount Olive-Silverstone-Jamestown,"25,740","1,890","23,850",93,"5,510","6,065",4660,"3,430","2,100","1,045",525,285,245,25740,9740,16005,62,"2,390","1,785",2950,"2,495","2,245","1,605","1,005",600,360,580,225,165,185,27.9,"9,155","3,365","1,125","5,095",690,21.8,30,31.3,20,12.2,10975,14765,"12,975","1,785",57,50,12,11185,14560,"5,850","8,705","14,760",820,"13,955","12,900","1,050"
Mount Pleasant East,"13,780",580,"13,200",96,1755,"1,580",1420,"1,250","1,150","1,000",810,810,"3,415","13,775",3210,10565,77,"1,295",640,970,815,730,705,655,570,420,3750,460,485,2800,10.3,"1,730",255,65,"1,080",400,9.2,6,3.6,9.6,12,4055,9720,"9,050",670,71,66,6.9,3595,10180,"5,510","4,680","9,715",175,"9,550","7,850","1,690"
Mount Pleasant West,"26,550",965,"25,570",96,3705,"3,740",3100,"3,060","3,115","2,360","1,970","1,435","3,110","26,550",6380,20170,76,"2,025","1,240",2170,"1,860","1,855","1,965","1,835","1,505","1,305","4,410","1,040",795,"2,575",20.8,"6,025",700,240,"4,355",975,18.6,20,16,18.3,18.8,6765,19780,"18,450","1,330",75,70,7,6805,19750,"11,375","8,370","19,785",475,"19,320","17,095","2,215"
New Toronto,"9,680",375,"9,310",96,1560,"2,050",1440,"1,110",970,655,455,395,685,9675,2810,6865,71,890,595,925,720,705,610,570,405,340,1115,290,235,585,24.8,2800,500,170,"1,795",500,21.6,20,16.4,21.4,24.6,3220,6460,"5,895",565,67,61,8.7,3050,6630,"3,180","3,440","6,460",180,"6,275","5,555",715
Newtonbrook East,"13,950",735,"13,210",95,3380,"2,775",1705,"1,260","1,040",830,660,440,1115,"13,945",5410,8545,61,"1,275",795,1395,940,785,635,525,465,360,1375,325,260,800,27.4,4260,630,190,"2,940",690,24.9,27,25.4,26.4,17.4,5875,8085,"7,375",710,58,53,8.8,5715,8235,"3,850","4,385","8,080",285,"7,805","6,350","1,450"
Newtonbrook West,"20,825","1,155","19,670",95,"4,600","4,560",3395,"2,285","1,625","1,000",685,520,"1,000","20,825",7525,13315,64,"1,785","1,370",2455,"1,945","1,465","1,185",705,555,420,1435,340,325,770,26.3,"6,215","1,035",305,"4,225",955,23.2,25,22.3,24.9,15.3,8390,12435,"11,390","1,050",60,55,8,8265,12570,"5,780","6,775","12,440",410,"12,035","10,250","1,785"
Niagara,"28,395",460,"27,935",98,2840,"3,200",2735,"2,935","3,530","3,330","2,765","2,110","4,500","28,390","3,335",25045,88,"1,510","1,120",2315,"1,845","1,980","2,275","2,340","2,285","2,030","7,365","1,690","1,345","4,325",13.7,"4,185",490,220,"3,430",270,13.3,18,13,12.9,14.1,3795,24595,"23,490","1,110",87,83,5,3490,24905,"15,695","9,220","24,595",260,"24,340","21,550","2,795"
North Riverdale,"9,735",295,9435,97,1375,"1,415",1085,890,810,695,555,545,2050,"9,725",2145,7585,78,955,550,820,600,520,550,405,420,340,2435,335,370,1735,10.9,1275,185,50,900,195,10.4,5.7,5.6,11.8,9.8,2575,7160,"6,780",380,74,70,5.3,2355,7380,"3,630","3,750","7,165",125,"7,035","5,675","1,360"
North St. James Town,"16,080",735,"15,335",95,3065,"3,910",2660,"2,020","1,440",755,580,340,545,16075,4830,11245,70,"1,420","1,060",1900,"1,600","1,435","1,180",755,465,435,990,290,220,485,36.5,"6,695","1,280",530,"4,770",635,33.1,38,37.6,32.4,31.8,5225,10845,"9,715","1,125",68,60,10,5485,10590,"4,835","5,765","10,845",475,"10,375","9,410",955
Oakridge,"10,750",730,"10,020",93,2325,"2,900",1830,"1,165",725,455,305,150,165,10750,4490,6260,58,"1,030",720,1250,830,665,565,365,260,215,355,115,105,130,42.6,"5,795","1,860",680,"3,455",480,35,42,45.3,33.5,25.9,4605,6150,"5,250",900,57,49,14.6,4820,5935,"2,315","3,615","6,155",430,"5,725","5,125",605
Oakwood Village,"17,835",735,"17,110",96,2735,"3,810",3075,"2,240","1,670","1,090",810,575,"1,085","17,835",5565,12270,69,"1,420","1,000",1840,"1,570","1,410","1,220",870,675,575,1705,405,390,905,18.6,"3,905",780,260,"2,320",815,16.3,16,14.9,16.2,17.3,6120,11725,"10,920",800,66,61,6.8,6005,11825,"5,855","5,980","11,715",215,"11,505","9,965","1,535"
O'Connor-Parkview,"15,395",860,"14,540",94,2605,"2,850",2425,"1,795","1,420","1,010",695,605,"1,135","15,395",5120,10275,67,"1,440",855,1405,"1,170",1050,900,720,590,460,1690,380,375,935,22.5,"4,160","1,215",420,"2,580",365,19.9,28,29.8,19.6,9.8,5820,9580,"8,620",970,62,56,10.1,5720,9675,"4,865","4,810","9,575",360,"9,215","8,160","1,055"
Old East York,"7,745",305,7440,96,1090,"1,275",1090,825,760,610,460,400,930,7740,2205,5535,72,660,405,675,515,500,425,415,335,280,1320,260,290,775,13.5,1245,265,80,775,200,11.5,11.5,12.5,12.3,9.3,2625,5115,"4,870",255,66,63,5,2500,5245,"2,795","2,440","5,115",100,"5,005","4,270",735
Palmerston-Little Italy,"12,495",260,"12,235",98,1715,"2,310",1975,"1,490","1,285",920,720,485,1325,"12,500",2940,9560,77,940,765,1435,1110,935,775,805,600,475,1720,330,310,1080,13.8,1895,165,40,"1,420",325,17.7,9,7.5,19.9,12,3220,9275,"8,640",630,74,69,6.8,3180,9325,"4,660","4,670","9,270",175,"9,095","7,680","1,420"
Parkwoods-Donalda,"28,890","1,770","27,115",94,"5,090","5,145",4280,"3,435","2,795","2,040","1,395",985,"1,955","28,890",9390,19525,68,"2,800","1,685",2725,"2,245","1,935","1,885","1,515","1,185",865,"2,705",640,575,1475,20.6,"7,150","2,110",655,"4,295",755,16.6,23,23.4,16.3,8.7,10645,18240,"16,565","1,685",63,57,9,10515,18390,"8,955","9,440","18,245",735,"17,505","15,490","2,030"
Pelmo Park-Humberlea,"8,975",455,"8,510",95,1335,"1,550",1460,"1,210","1,000",715,505,350,380,8970,2710,6265,70,690,500,830,715,710,665,560,435,340,840,275,225,325,11.4,1225,330,100,745,145,9.3,10.9,11.1,9.5,6,3100,5870,"5,520",355,65,62,6,3055,5915,"3,155","2,760","5,870",130,"5,740","5,230",520
Playter Estates-Danforth,6490,195,6290,97,835,"1,075",805,645,565,495,325,350,1200,"6,495",1495,4990,77,600,315,620,445,390,395,315,270,220,1425,225,215,980,13.6,1040,95,35,710,235,12.7,5.6,5.3,14,15.2,1815,4680,"4,385",300,72,68,6.4,1595,4895,"2,595","2,295","4,680",70,"4,600","3,780",830
Pleasant View,"13,760",720,"13,035",95,2805,"2,685",2120,"1,520","1,335",800,625,440,695,13765,5105,8650,63,"1,270",830,1300,990,855,845,625,450,370,1105,325,280,515,17.5,2770,610,175,"1,775",385,15.9,21,21.4,17.5,6.9,5640,8125,"7,315",810,59,53,10,5685,8075,"3,895","4,170","8,130",350,"7,775","6,900",870
Princess-Rosethorn,"9,275",435,8835,95,1340,"1,065",905,745,755,740,575,525,2190,"9,275",2655,6615,71,970,500,695,495,420,375,370,305,300,2175,260,305,1620,7.2,800,210,60,490,95,6,7.2,7.9,6.3,3.7,3395,5875,"5,520",355,63,60,6,2905,6365,"3,245","3,125","5,880",80,"5,795","4,715","1,085"
Regent Park,"9,040",470,"8,575",95,1950,"2,285",1325,885,635,495,345,235,430,9040,3075,5970,66,925,640,1020,690,575,475,365,325,230,725,170,155,395,42.3,4515,"1,175",305,"2,955",390,35.3,46,41.1,32,40.6,3375,5660,"5,120",545,63,57,9.6,3465,5580,"2,535","3,050","5,660",210,"5,450","4,805",650
Rexdale-Kipling,"8,725",455,"8,265",95,1460,"1,795",1490,"1,120",930,580,375,250,260,8725,2885,5835,67,770,540,880,750,645,635,485,350,245,540,185,170,185,18.6,1930,555,200,"1,165",210,15.8,23,24.1,15.3,9.7,3240,5480,"4,880",600,63,56,10.9,3235,5490,"2,720","2,770","5,480",210,"5,265","4,815",460
Rockcliffe-Smythe,"18,735",945,"17,800",95,3130,"4,075",3250,"2,515","1,895","1,235",770,460,475,18735,6615,12135,65,"1,540","1,105",1890,"1,605","1,395","1,335",965,695,560,1065,405,260,405,22.8,"5,060","1,355",465,"2,895",820,18.5,24,24.9,17.5,15.9,7525,11215,"10,180","1,030",60,54,9,7435,11315,"5,505","5,810","11,215",415,"10,795","9,710","1,090"
Roncesvalles,"12,575",445,"12,130",97,1800,"2,525",1735,"1,320","1,120",835,705,590,1505,"12,580",3290,9285,74,970,715,1240,945,840,810,615,560,460,2115,440,365,1300,19.9,2965,485,160,"1,920",560,19.3,15,14.7,19.2,26.7,3550,9020,"8,415",600,72,67,6.7,3355,9210,"4,600","4,620","9,025",185,"8,835","7,300","1,535"
Rosedale-Moore Park,"18,000",660,"17,330",96,2330,"1,690",1570,"1,385","1,470","1,270","1,155",920,"5,530","18,005",5535,12475,69,"1,885",765,1140,870,735,675,685,565,560,4605,440,440,3725,10.2,2110,290,95,"1,485",315,9.7,8,8.2,12.1,4.7,6490,11510,"10,815",695,64,60,6,5925,12080,"5,960","6,120","11,515",210,"11,305","8,595","2,720"
Rouge,"38,125","2,155","35,955",94,"6,705","7,105",5345,"4,710","4,070","2,730","1,820","1,310","2,130","38,115",11180,26935,71,"3,475","2,350",3655,"3,165","2,835","2,830","2,280","1,600","1,275","3,455",885,855,1735,9.5,"4,395","1,440",430,"2,515",445,7.8,12,12.6,7.2,4.8,13485,24645,"22,625","2,010",65,59,8,13090,25025,"12,710","12,310","24,635",875,"23,775","21,910","1,850"
Runnymede-Bloor West Village,"8,025",320,7705,96,1040,935,840,740,705,645,545,530,1725,"8,025",1830,6190,77,690,380,570,465,395,395,390,385,375,2150,305,350,1495,6.9,690,130,50,450,105,5.8,4.2,3.9,6.4,4.4,2200,5825,"5,535",295,73,69,5.1,2000,6020,"3,340","2,685","5,825",105,"5,725","4,860",855
Rustic,"7,825",480,"7,340",94,1300,"1,880",1510,995,705,370,215,160,210,7825,3175,4645,59,690,560,760,670,535,415,320,195,140,375,120,100,155,31.7,3090,"1,145",405,"1,560",395,24.2,37,41.8,21.8,14.3,3720,4100,"3,735",375,52,48,9.1,3595,4230,"1,870","2,355","4,100",140,"3,965","3,610",345
Scarborough Village,"13,075",870,"12,205",93,2660,"3,045",2115,"1,510","1,155",660,415,210,440,13075,5035,8045,62,"1,380",830,1395,"1,020",890,765,530,355,270,610,165,125,320,32.4,"5,325","1,900",650,"3,035",400,25.7,36,39.1,24.4,12,5535,7540,"6,560",980,58,50,13,5680,7385,"3,280","4,105","7,540",460,"7,080","6,370",710
South Parkdale,"18,585",585,"17,995",97,2985,"4,515",3330,"2,570","1,745","1,110",650,430,685,18590,5025,13550,73,"1,425","1,195",2260,"1,915","1,760","1,555",975,725,525,1245,370,255,630,30.5,6290,905,330,"4,585",815,27.1,27,26.7,26.9,29.5,5455,13135,"12,020","1,125",71,65,9,5430,13165,"6,095","7,065","13,135",405,"12,730","11,495","1,235"
South Riverdale,"23,135",740,"22,410",97,3505,"4,365",2775,"2,210","1,940","1,660","1,440","1,270","3,260","23,140",5900,17240,75,"1,795","1,205",2060,"1,535","1,415","1,320","1,150","1,075",965,"4,715",890,835,2990,18.7,"5,055",910,255,"3,315",830,17.6,18,11.1,17.1,20.7,6600,16535,"15,470","1,070",71,67,7,6500,16640,"9,320","7,320","16,535",355,"16,190","13,640","2,550"
St.Andrew-Windfields,"15,040",820,"14,225",95,2710,"2,000",1500,"1,220","1,195",985,760,655,3190,"15,040",4950,10080,67,"1,455",790,1225,925,785,670,585,480,390,2815,360,350,2090,15.9,2810,720,145,"1,850",250,13.4,17,14.8,14.5,6.1,5795,9255,"8,475",770,62,56,8.3,5355,9690,"4,350","5,350","9,245",300,"8,940","6,775","2,170"
Steeles,"21,120","1,045","20,075",95,"4,635","5,380",3185,"2,190","1,555","1,105",690,525,795,21120,8590,12535,59,"1,885","1,510",2325,"1,655","1,230",990,765,560,415,1225,360,270,600,21,"5,105","1,045",330,"2,885","1,190",19.9,27,27.8,20.8,12.7,10085,11035,"9,990","1,045",52,47,10,9740,11375,"5,210","6,170","11,035",490,"10,550","9,285","1,275"
Stonegate-Queensway,"20,840",735,"20,100",96,2855,"2,960",2660,"2,325","2,005","1,630","1,190","1,065","3,400","20,845",5650,15190,73,"1,900","1,080",1760,"1,310","1,185","1,245","1,025",890,680,"4,120",620,670,2830,11.6,"2,895",615,220,"1,865",425,9.5,9,9.6,10.2,7,6790,14060,"13,125",935,68,63,6.7,6280,14565,"7,555","7,015","14,065",295,"13,765","11,570","2,180"
Tam O'Shanter-Sullivan,"23,145","1,210","21,940",95,"4,435","5,265",3740,"2,730","1,985","1,335",865,600,950,23145,9110,14035,61,"2,110","1,420",2185,"1,845","1,550","1,270",995,720,560,1395,415,330,655,23.8,"6,425","1,510",525,"3,590","1,325",19.1,25,26.3,19.1,14.2,10225,12910,"11,730","1,175",56,51,9,10145,13015,"6,025","6,975","12,920",520,"12,410","11,110","1,290"
Taylor-Massey,"12,535",785,"11,745",94,2555,"2,840",2170,"1,485","1,100",660,425,240,280,12530,4360,8170,65,"1,195",855,1385,"1,135",990,770,580,395,315,565,210,130,225,32.9,"5,100","1,485",615,"3,240",370,27.3,35,37.4,26.8,14.9,4595,7935,"7,030",910,63,56,11.5,4615,7915,"3,520","4,400","7,945",395,"7,540","6,935",615
The Beaches,"17,615",685,"16,930",96,2315,"2,010",1750,"1,530","1,485","1,345","1,190","1,010","4,310","17,620",4085,13535,77,"1,710",870,1290,"1,060",865,800,745,705,650,4840,570,670,3600,9.4,"2,010",315,75,"1,405",275,8.2,5,3.3,9.3,7.3,4920,12710,"11,985",725,72,68,5.7,4195,13435,"6,905","6,525","12,710",175,"12,530","10,015","2,520"
Thistletown-Beaumond Heights,"8,395",455,"7,940",95,1560,"1,765",1480,"1,150",765,490,285,195,250,8395,2975,5420,65,780,510,905,720,685,525,360,280,195,455,140,130,190,17.8,1800,570,195,"1,045",190,14.7,21.3,24,14.5,7.4,3335,5060,"4,540",525,60,54,10.4,3300,5100,"2,405","2,700","5,065",205,"4,855","4,355",505
Thorncliffe Park,"15,250","1,355","13,890",91,"3,235","3,775",2570,"1,470","1,075",645,460,295,370,15245,6580,8660,57,"1,340","1,000",1770,"1,105",880,690,530,375,285,695,215,170,310,45.5,"9,490","3,825","1,520","4,990",665,36,48,51.8,33.1,20.6,6760,8490,"7,415","1,070",56,49,13,7105,8145,"3,395","4,745","8,490",530,"7,960","6,980",975
Trinity-Bellwoods,"14,490",320,"14,160",98,2240,"2,945",2305,"1,545","1,380",970,705,540,1525,"14,485",3795,10700,74,"1,060",905,1730,"1,205",975,905,795,595,500,2020,385,345,1290,14.7,2385,270,100,"1,810",290,17.6,12,11.3,20.2,9.2,4440,10055,"9,440",610,69,65,6.1,4275,10205,"5,330","4,875","10,050",135,"9,915","8,320","1,595"
University,"6,170",155,6015,98,1230,"1,135",860,635,485,385,305,220,755,6170,1630,4535,74,700,450,690,445,365,325,260,240,180,870,150,135,585,22.4,1495,95,25,"1,255",150,26.4,15,6.5,30.8,10.5,1760,4405,"4,035",365,72,66,8.3,1700,4465,"1,950","2,520","4,405",150,"4,265","3,560",700
