Neighbourhood,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without after-tax income,  With after-tax income,  Percentage with after-tax income,"    Under $10,000 (including loss)","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over",Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,  Without employment income,  With employment income,  Percentage with employment income,"    Under $5,000 (including loss)","    $5,000 to $9,999","    $10,000 to $19,999","    $20,000 to $29,999","    $30,000 to $39,999","    $40,000 to $49,999","    $50,000 to $59,999","    $60,000 to $69,999","    $70,000 to $79,999","    $80,000 and over","      $80,000 to $89,999","      $90,000 to $99,999","      $100,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","In low income based on the Low-income measure, after tax (LIM-AT)",0 to 17 years,0 to 5 years,  18 to 64 years,  65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",  0 to 17 years (%),    0 to 5 years (%),  18 to 64 years (%),  65 years and over (%),  Not in the labour force,  In the labour force,    Employed,    Unemployed,Participation rate,Employment rate,Unemployment rate,  Did not work,  Worked,"    Worked full year, full time",    Worked part year and/or part time,Total labour force aged 15 years and over by class of worker - 25% sample data,  Class of worker - not applicable,  All classes of workers,    Employee,    Self-employed
Beechborough-Greenbrook,"5,250",310,"4,945",94.2,850,"1,205",960,740,510,275,180,95,125,"5,255","1,885","3,370",64.1,440,315,535,485,435,375,255,165,120,235,80,55,100,28,"1,785",555,200,"1,055",170,21.9,30.4,33.7,20.3,16.1,"2,135","3,125","2,765",355,59.5,52.7,11.4,"2,135","3,120","1,470","1,645","3,120",125,"3,005","2,730",270
Bendale,"24,610","1,425","23,185",94.2,"5,175","4,820","3,730","3,150","2,320","1,575",965,635,800,"24,615","8,950","15,670",63.7,"2,220","1,520","2,300","1,950","1,815","1,575","1,255",910,650,"1,450",465,410,595,23.4,"6,815","1,725",580,"4,295",790,19.4,24.7,25.6,20.1,10.5,"10,335","14,270","13,020","1,255",58,52.9,8.8,"10,285","14,335","6,900","7,440","14,280",580,"13,695","12,485","1,215"
Birchcliffe-Cliffside,"18,345",780,"17,580",95.8,"2,795","2,945","2,500","2,015","1,840","1,515","1,045",895,"2,035","18,345","5,430","12,915",70.4,"1,765",940,"1,555","1,195","1,120","1,050",915,860,655,"2,845",540,595,"1,730",14.5,"3,150",660,215,"2,110",385,12.9,13.6,13.3,13.9,8.1,"6,355","12,000","10,945","1,055",65.4,59.6,8.8,"6,115","12,235","6,400","5,840","11,995",385,"11,610","10,145","1,470"
Black Creek,"16,965","1,140","15,815",93.2,"3,475","4,405","3,065","2,375","1,340",610,290,150,110,"16,960","6,975","9,995",58.9,"1,520","1,125","1,835","1,530","1,515","1,070",590,330,195,270,120,70,85,33,"7,105","2,565",895,"3,795",745,25.9,34.6,38.7,23.2,21.3,"7,655","9,300","8,115","1,180",54.8,47.8,12.7,"7,790","9,170","3,675","5,495","9,300",555,"8,740","8,065",675
Blake-Jones,"6,280",305,"5,985",95.3,"1,050","1,340",750,575,465,430,340,260,765,"6,280","1,975","4,305",68.6,570,345,555,400,320,325,270,265,215,"1,040",200,180,660,24.5,"1,885",470,135,"1,130",280,21.1,22.5,19.2,20.4,22.3,"2,200","4,080","3,740",345,65,59.6,8.5,"2,085","4,200","2,190","2,015","4,080",125,"3,955","3,360",600
Briar Hill-Belgravia,"12,360",580,"11,785",95.3,"1,975","2,520","2,320","1,735","1,230",745,490,305,450,"12,355","3,570","8,780",71.1,875,800,"1,380","1,255","1,195",975,670,440,365,825,240,205,375,17,"2,410",460,170,"1,585",365,14.8,15.5,17.7,15.2,12.1,"4,005","8,350","7,635",725,67.6,61.8,8.7,"3,950","8,395","3,970","4,435","8,350",260,"8,095","7,265",830
Bridle Path-Sunnybrook-York Mills,"7,750",445,"7,305",94.3,"1,280",660,570,415,425,415,395,375,"2,780","7,750","2,605","5,135",66.3,765,360,485,375,280,220,210,195,160,"2,075",140,145,"1,770",8.8,810,225,40,520,60,8.4,10.8,9.3,9.4,2.6,"3,230","4,515","4,155",360,58.3,53.6,8,"2,815","4,935","2,120","2,805","4,515",100,"4,415","3,010","1,405"
Broadview North,"9,880",335,"9,545",97,1430,"1,965",1615,"1,245","1,040",655,480,360,750,9880,2905,6970,71,770,515,1025,820,755,700,530,415,340,1110,255,220,630,22.6,2560,475,165,"1,700",385,18.5,21,19.4,19.2,13.2,3300,6575,"6,035",540,67,61,8.2,3240,6640,"3,475","3,170","6,580",195,"6,380","5,560",825
Brookhaven-Amesbury,"14,355",860,"13,480",94,2545,"3,085",2675,"2,005","1,380",770,440,280,300,14345,4775,9575,67,"1,265",955,1615,"1,425",1230,990,680,460,315,630,245,140,255,24.7,"4,375","1,445",490,"2,575",350,19.3,26,28,18.3,11.3,5240,9105,"8,195",915,64,57,10,5300,9045,"4,160","4,890","9,100",350,"8,755","8,025",725
Cabbagetown-South St. James Town,"10,195",220,"9,975",98,1270,"1,905",1255,"1,085",995,815,605,510,1540,"10,200",2545,7660,75,880,565,955,680,660,630,530,510,400,1875,330,295,1240,20.8,2290,190,60,"1,540",550,20.2,18,16.2,20.2,22,2925,7275,"6,695",585,71,66,8,2760,7435,"3,975","3,460","7,270",150,"7,120","6,070","1,050"
