Neighbourhood,Without after-tax income,With after-tax income,"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 69,999","70,000 to 79,999","80,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",0 to 17 years,18 to 64 years,65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",Not in the labour force,In the labour force,Participation rate,Employment rate,Unemployment rate,Class of worker - not applicable,Employee,Self-employed
East End-Danforth,0.0439,0.9561,0.1632,0.1805,0.1293,0.1015,0.0915,0.0784,0.0627,0.0594,0.1336,18.8000,0.2000,0.6481,0.1519,16.6000,0.2990,0.7010,70.0000,64.0000,8.2000,0.0314,0.8288,0.1399
Edenbridge-Humber Valley,0.0383,0.9617,0.1443,0.1431,0.1359,0.1184,0.1045,0.0783,0.0529,0.0465,0.1761,10.5000,0.2075,0.6321,0.1604,8.2000,0.3558,0.6442,64.0000,61.0000,6.1000,0.0172,0.8049,0.1779
Eglinton East,0.0620,0.9380,0.1976,0.2354,0.1947,0.1513,0.1009,0.0555,0.0298,0.0153,0.0195,26.0000,0.3403,0.5766,0.0831,20.4000,0.4086,0.5914,59.0000,53.0000,11.0000,0.0533,0.8821,0.0645
Elms-Old Rexdale,0.0622,0.9378,0.2054,0.2166,0.1852,0.1435,0.1017,0.0620,0.0376,0.0223,0.0258,23.2000,0.3645,0.5535,0.0820,17.9000,0.3933,0.6067,61.0000,55.0000,10.0000,0.0442,0.8825,0.0733
Englemount-Lawrence,0.0591,0.9409,0.1703,0.2039,0.1809,0.1271,0.0960,0.0581,0.0420,0.0289,0.0929,21.3000,0.2987,0.5236,0.1777,17.8000,0.3704,0.6296,63.0000,57.0000,8.9000,0.0339,0.8252,0.1409
Eringate-Centennial-West Deane,0.0428,0.9572,0.1515,0.1623,0.1436,0.1245,0.1157,0.0953,0.0674,0.0523,0.0874,9.7000,0.2758,0.5794,0.1448,7.5000,0.3645,0.6355,64.0000,59.0000,7.4000,0.0252,0.8564,0.1183
Etobicoke West Mall,0.0496,0.9504,0.1734,0.1917,0.1707,0.1395,0.1125,0.0824,0.0528,0.0350,0.0420,18.3000,0.2833,0.6143,0.1024,14.7000,0.3432,0.6568,66.0000,61.0000,7.9000,0.0311,0.8677,0.1012
Flemingdon Park,0.0761,0.9239,0.2266,0.2596,0.1883,0.1267,0.0814,0.0490,0.0287,0.0163,0.0234,34.7000,0.3388,0.5546,0.1066,27.2000,0.4348,0.5652,57.0000,51.0000,11.0000,0.0509,0.8453,0.1038
Forest Hill North,0.0386,0.9614,0.1519,0.1578,0.1450,0.1098,0.0911,0.0710,0.0524,0.0402,0.1808,15.5000,0.1990,0.6454,0.1556,13.3000,0.2909,0.7091,71.0000,66.0000,7.4000,0.0219,0.7835,0.1946
Forest Hill South,0.0275,0.9725,0.1255,0.1049,0.1077,0.0977,0.0866,0.0755,0.0611,0.0466,0.2943,10.7000,0.1674,0.6564,0.1762,9.8000,0.3421,0.6579,66.0000,62.0000,5.6000,0.0131,0.7353,0.2516
Glenfield-Jane Heights,0.0622,0.9378,0.1948,0.2622,0.2090,0.1491,0.0934,0.0467,0.0234,0.0114,0.0100,25.7000,0.3704,0.5145,0.1151,20.9000,0.4497,0.5503,55.0000,49.0000,12.0000,0.0520,0.8789,0.0691
Greenwood-Coxwell,0.0373,0.9627,0.1633,0.2038,0.1381,0.1058,0.0884,0.0784,0.0627,0.0544,0.1050,19.7000,0.2063,0.6420,0.1517,17.6000,0.3080,0.6920,69.0000,64.0000,7.2000,0.0261,0.8454,0.1286
Guildwood,0.0401,0.9599,0.1353,0.1446,0.1353,0.1228,0.1203,0.0879,0.0748,0.0630,0.1160,7.7000,0.2055,0.6164,0.1781,6.7000,0.4053,0.5947,60.0000,55.0000,7.9000,0.0271,0.8495,0.1234
Henry Farm,0.0666,0.9334,0.2599,0.1865,0.1395,0.1127,0.0945,0.0693,0.0531,0.0324,0.0519,29.6000,0.2196,0.7147,0.0657,25.4000,0.3484,0.6516,65.0000,59.0000,10.3000,0.0371,0.8752,0.0876
High Park North,0.0369,0.9631,0.1465,0.1525,0.1255,0.1181,0.1042,0.0875,0.0697,0.0547,0.1413,16.5000,0.1326,0.7141,0.1533,15.1000,0.2774,0.7226,72.0000,67.0000,7.1000,0.0197,0.8451,0.1353
High Park-Swansea,0.0321,0.9679,0.1288,0.1270,0.1228,0.1095,0.1061,0.0884,0.0741,0.0568,0.1864,11.1000,0.1885,0.6635,0.1481,10.4000,0.2670,0.7330,73.0000,69.0000,6.0000,0.0151,0.8207,0.1641
Highland Creek,0.0462,0.9538,0.1894,0.1932,0.1457,0.1218,0.1093,0.0757,0.0508,0.0436,0.0705,10.5000,0.2386,0.6818,0.0795,9.9000,0.3908,0.6092,61.0000,56.0000,8.5000,0.0300,0.8619,0.1081
Hillcrest Village,0.0510,0.9490,0.2185,0.2185,0.1324,0.1007,0.0883,0.0708,0.0491,0.0399,0.0819,21.9000,0.1927,0.5310,0.2763,19.1000,0.4642,0.5358,54.0000,49.0000,8.3000,0.0391,0.8068,0.1540
Humber Heights-Westmount,0.0398,0.9602,0.1486,0.1817,0.1643,0.1258,0.1173,0.0806,0.0584,0.0397,0.0836,14.6000,0.2804,0.5574,0.1622,10.8000,0.4090,0.5910,59.0000,55.0000,7.4000,0.0293,0.8341,0.1366
Humber Summit,0.0595,0.9405,0.1912,0.2461,0.2021,0.1435,0.0938,0.0560,0.0301,0.0166,0.0207,19.7000,0.3395,0.5542,0.1063,16.0000,0.4391,0.5609,56.0000,51.0000,9.6000,0.0417,0.8663,0.0920
Humbermede,0.0620,0.9380,0.2041,0.2345,0.2003,0.1469,0.1033,0.0521,0.0279,0.0161,0.0148,22.7000,0.3362,0.5674,0.0965,18.4000,0.3932,0.6068,61.0000,55.0000,10.2000,0.0406,0.8848,0.0746
Humewood-Cedarvale,0.0327,0.9673,0.1417,0.1721,0.1580,0.1203,0.0946,0.0672,0.0514,0.0407,0.1541,15.7000,0.1384,0.7098,0.1518,14.5000,0.2632,0.7368,74.0000,69.0000,7.1000,0.0191,0.8219,0.1590
Ionview,0.0633,0.9367,0.1887,0.2297,0.1901,0.1547,0.1057,0.0608,0.0344,0.0184,0.0175,23.3000,0.2830,0.6038,0.1132,18.6000,0.3881,0.6119,61.0000,56.0000,8.8000,0.0340,0.9009,0.0651
Islington-City Centre West,0.0370,0.9630,0.1508,0.1671,0.1342,0.1257,0.1133,0.0904,0.0643,0.0496,0.1046,15.8000,0.2216,0.6222,0.1563,13.0000,0.3136,0.6864,69.0000,64.0000,7.0000,0.0265,0.8588,0.1147
Junction Area,0.0375,0.9625,0.1543,0.1708,0.1427,0.1163,0.1128,0.0860,0.0657,0.0545,0.0968,13.5000,0.1627,0.7297,0.1076,13.2000,0.2592,0.7408,74.0000,70.0000,5.6000,0.0203,0.8452,0.1345
Keelesdale-Eglinton West,0.0589,0.9411,0.1728,0.2313,0.2003,0.1351,0.0996,0.0687,0.0405,0.0264,0.0253,18.3000,0.2264,0.5672,0.2065,14.9000,0.4011,0.5989,60.0000,55.0000,8.6000,0.0328,0.8732,0.0940
Kennedy Park,0.0583,0.9417,0.1913,0.2520,0.1846,0.1368,0.1042,0.0556,0.0348,0.0211,0.0196,26.3000,0.2783,0.5865,0.1353,22.1000,0.4057,0.5943,59.0000,54.0000,9.1000,0.0435,0.8766,0.0799
Kensington-Chinatown,0.0266,0.9734,0.2373,0.2611,0.1422,0.0989,0.0773,0.0518,0.0385,0.0299,0.0630,33.2000,0.0974,0.7060,0.1966,34.9000,0.3743,0.6257,63.0000,58.0000,8.2000,0.0292,0.8468,0.1241
Kingsview Village-The Westway,0.0569,0.9431,0.1958,0.2155,0.1719,0.1325,0.1027,0.0692,0.0403,0.0286,0.0436,24.9000,0.3702,0.5576,0.0722,19.7000,0.4214,0.5786,58.0000,52.0000,10.0000,0.0419,0.8494,0.1087
Kingsway South,0.0363,0.9637,0.1293,0.0917,0.0869,0.0828,0.0793,0.0759,0.0650,0.0616,0.3276,4.5000,0.1905,0.6667,0.1429,4.1000,0.3693,0.6307,63.0000,59.0000,7.5000,0.0209,0.7941,0.1850
Lambton Baby Point,0.0518,0.9482,0.1591,0.1566,0.1178,0.0976,0.0867,0.0673,0.0581,0.0530,0.2037,18.5000,0.3153,0.5627,0.1220,15.1000,0.3312,0.6688,67.0000,62.0000,7.6000,0.0285,0.8145,0.1570
L'Amoreaux,0.0543,0.9457,0.2184,0.2528,0.1726,0.1190,0.0888,0.0547,0.0340,0.0240,0.0356,23.5000,0.2439,0.5831,0.1730,19.5000,0.4343,0.5657,57.0000,50.0000,11.0000,0.0506,0.8472,0.1022
Lansing-Westgate,0.0454,0.9546,0.1909,0.1517,0.1179,0.0998,0.0899,0.0718,0.0595,0.0507,0.1678,17.6000,0.1431,0.7580,0.0989,15.5000,0.3261,0.6739,67.0000,63.0000,7.2000,0.0196,0.8010,0.1794
Lawrence Park North,0.0474,0.9526,0.1384,0.1086,0.0825,0.0732,0.0690,0.0690,0.0634,0.0634,0.3327,6.7000,0.1827,0.6193,0.1980,6.1000,0.2957,0.7043,70.0000,66.0000,6.4000,0.0145,0.8024,0.1831
Lawrence Park South,0.0448,0.9552,0.1466,0.1047,0.0834,0.0761,0.0705,0.0620,0.0586,0.0492,0.3489,7.3000,0.1883,0.7040,0.1076,6.8000,0.3177,0.6823,68.0000,63.0000,7.5000,0.0245,0.7630,0.2124
Leaside-Bennington,0.0475,0.9525,0.1469,0.1060,0.0907,0.0793,0.0817,0.0683,0.0621,0.0570,0.3079,6.9000,0.2087,0.6609,0.1304,5.9000,0.3155,0.6845,69.0000,64.0000,6.9000,0.0164,0.7893,0.1943
Little Portugal,0.0223,0.9777,0.1363,0.1816,0.1633,0.1345,0.1157,0.0846,0.0637,0.0427,0.0775,15.6000,0.1340,0.7809,0.0851,16.7000,0.2201,0.7799,78.0000,73.0000,6.4000,0.0122,0.8549,0.1329
Long Branch,0.0338,0.9662,0.1468,0.1818,0.1586,0.1283,0.1147,0.0766,0.0576,0.0469,0.0885,17.6000,0.1667,0.7034,0.1299,15.1000,0.2940,0.7060,71.0000,66.0000,7.1000,0.0284,0.8482,0.1234
Malvern,0.0651,0.9349,0.2156,0.2384,0.1771,0.1423,0.1055,0.0589,0.0297,0.0173,0.0152,20.4000,0.3253,0.5590,0.1157,15.4000,0.3794,0.6206,62.0000,56.0000,11.0000,0.0456,0.8862,0.0683
Maple Leaf,0.0513,0.9487,0.1611,0.2008,0.2096,0.1561,0.1057,0.0573,0.0409,0.0264,0.0422,15.2000,0.2733,0.6033,0.1233,11.8000,0.3849,0.6151,61.0000,57.0000,8.1000,0.0282,0.8796,0.0922
Markland Woods,0.0362,0.9638,0.1380,0.1465,0.1345,0.1192,0.1106,0.0901,0.0684,0.0536,0.1391,8.3000,0.2069,0.6034,0.1897,6.4000,0.4023,0.5977,60.0000,56.0000,6.2000,0.0192,0.8515,0.1292
Milliken,0.0529,0.9471,0.2330,0.2907,0.1679,0.1092,0.0762,0.0476,0.0297,0.0184,0.0274,22.1000,0.2339,0.5939,0.1722,21.2000,0.4551,0.5449,55.0000,49.0000,10.0000,0.0435,0.8625,0.0940
Mimico,0.0290,0.9710,0.1378,0.1651,0.1321,0.1195,0.1092,0.0898,0.0743,0.0549,0.1173,18.2000,0.1414,0.6799,0.1787,15.6000,0.2910,0.7090,71.0000,67.0000,6.0000,0.0203,0.8500,0.1297
Morningside,0.0578,0.9422,0.2126,0.2193,0.1740,0.1361,0.1026,0.0636,0.0361,0.0242,0.0316,23.8000,0.3060,0.6095,0.0845,19.1000,0.3861,0.6139,61.0000,54.0000,11.4000,0.0543,0.8771,0.0686
Moss Park,0.0249,0.9751,0.1645,0.2073,0.1166,0.0928,0.0874,0.0753,0.0681,0.0569,0.1311,31.9000,0.1408,0.7481,0.1111,29.7000,0.2761,0.7239,72.0000,68.0000,6.9000,0.0256,0.8438,0.1306
Mount Dennis,0.0561,0.9439,0.1884,0.2356,0.1855,0.1543,0.1100,0.0613,0.0302,0.0175,0.0170,25.3000,0.3145,0.6024,0.0831,21.2000,0.3651,0.6349,64.0000,57.0000,10.8000,0.0441,0.8669,0.0890
