Neighbourhood,Without after-tax income,With after-tax income,"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 69,999","70,000 to 79,999","80,000 and over","Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",0 to 17 years,18 to 64 years,65 years and over,"Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)",Not in the labour force,In the labour force,Participation rate,Employment rate,Unemployment rate,Class of worker - not applicable,Employee,Self-employed
Roncesvalles,0.0354,0.9646,0.1483,0.2081,0.1430,0.1088,0.0923,0.0688,0.0581,0.0486,0.1240,19.9000,0.1636,0.6476,0.1889,19.3000,0.2824,0.7176,72.0000,67.0000,6.7000,0.0205,0.8093,0.1702
Rosedale-Moore Park,0.0367,0.9633,0.1345,0.0976,0.0906,0.0800,0.0849,0.0733,0.0667,0.0531,0.3193,10.2000,0.1388,0.7105,0.1507,9.7000,0.3606,0.6394,64.0000,60.0000,6.0000,0.0182,0.7458,0.2360
Rouge,0.0565,0.9435,0.1866,0.1978,0.1488,0.1311,0.1133,0.0760,0.0507,0.0365,0.0593,9.5000,0.3273,0.5716,0.1011,7.8000,0.3537,0.6463,65.0000,59.0000,8.0000,0.0355,0.8894,0.0751
Runnymede-Bloor West Village,0.0399,0.9601,0.1350,0.1213,0.1090,0.0960,0.0915,0.0837,0.0707,0.0688,0.2239,6.9000,0.1898,0.6569,0.1533,5.8000,0.2741,0.7259,73.0000,69.0000,5.1000,0.0180,0.8351,0.1469
Rustic,0.0614,0.9386,0.1770,0.2560,0.2056,0.1355,0.0960,0.0504,0.0293,0.0218,0.0286,31.7000,0.3694,0.5032,0.1274,24.2000,0.4757,0.5243,52.0000,48.0000,9.1000,0.0342,0.8816,0.0842
Scarborough Village,0.0665,0.9335,0.2179,0.2494,0.1732,0.1237,0.0946,0.0541,0.0340,0.0172,0.0360,32.4000,0.3561,0.5689,0.0750,25.7000,0.4233,0.5767,58.0000,50.0000,13.0000,0.0610,0.8448,0.0942
South Parkdale,0.0315,0.9685,0.1656,0.2506,0.1848,0.1426,0.0968,0.0616,0.0361,0.0239,0.0380,30.5000,0.1435,0.7272,0.1293,27.1000,0.2934,0.7066,71.0000,65.0000,9.0000,0.0308,0.8751,0.0940
South Riverdale,0.0320,0.9680,0.1563,0.1946,0.1237,0.0986,0.0865,0.0740,0.0642,0.0566,0.1454,18.7000,0.1800,0.6558,0.1642,17.6000,0.2853,0.7147,71.0000,67.0000,7.0000,0.0215,0.8244,0.1541
St.Andrew-Windfields,0.0545,0.9455,0.1906,0.1407,0.1055,0.0858,0.0841,0.0693,0.0535,0.0461,0.2244,15.9000,0.2553,0.6560,0.0887,13.4000,0.3850,0.6150,62.0000,56.0000,8.3000,0.0324,0.7328,0.2347
Steeles,0.0495,0.9505,0.2311,0.2682,0.1588,0.1092,0.0775,0.0551,0.0344,0.0262,0.0396,21.0000,0.2041,0.5635,0.2324,19.9000,0.4775,0.5225,52.0000,47.0000,10.0000,0.0443,0.8403,0.1154
